,Message,Label,Language
0,whats upp ac enisteee: -) senin memlekette buldum..,0,tr
1,"kampanya, vakifbank worldcardla 31 mayisa kadar world uyesi gida,giyim,restoran,beyaz esyada ilk 100 tl sonrasi 100 tl alisverise 10 tl, maksimum 50 tl worldpuan. katilmak icin mayis yaz, kartin son 6 hanesini 6635e gonder.",1,tr
2,wont. wat's wit guys,0,en
3,arada son dakika evi düşürdük,0,tr
4,means fat head,0,en
5,battery mr adewale uncle. aka egbon,0,en
6,80488. 500 free text messages valid 31 december 2005.,1,en
7,come guoyang go n tell her? u told her?,0,en
8,"can. tell quite long, cos finish film yet...",0,en
9,playstation tercih ederim :),0,tr
10,gam gone outstanding innings.,0,en
11,tmm tramisu yapmış bahar sefer güzel oldu dio :),0,tr
12,"selamat pagi pak, data table yg dibutuhkan email. email msk pak?",0,id
13,yar else i'll thk sorts funny things.,0,en
14,beylikdüzü'nde yepyeni proje!! mahal istanbul residence lansman firsatlari hemen tapu imkani sizleri bekliyor. 02124286565 www.mahalistanbul.com.tr,1,tr
15,derimod'dan buyuk kis indirimi! tum ayakkabi deri ceketlerde %70'e varan indirim sizleri bekliyor. ustelik world'e ozel 8 taksit firsatiyla. sms istemiyorsaniz derimod iptal yazip 4946'ya gonderebilirsiniz. derimod.com.tr mersis no: 0293000831300010,1,tr
16,philips 40pfk4309 tv 1099 tl bosch 3 prog.bul.mak.849 tl merinos hali 179 tl iphone 6 cep.telefonu 90 tl taksitle devami erdemlermobilya.com.tr,1,tr
17,dont think so. turns like randomlly within 5min opening,0,en
18,"17-26 kasim tarihlerinde cep subesi'ne giris yaptiniz, arzum.com.tr'den %30 indirim kazandiniz.keyifli alisverisler. kodunuz: gr14n305bfb2f9b2538",1,tr
19,"firsat kacmaz! digiturk ayda sadece 5,99tl. ustelik 5ay hd, 6 ay yetiskin dizi kanallari hediye. firsat kodunuz bed1802 hemen arayin 02162350230",1,tr
20,"hemat langganan paket data mingguan. rp10.900. caranya? gampang kok, ketik kuota(spasi)10k krm sms 363.",1,id
21,took tablets . reaction morning only.,0,en
22,c movie juz last minute decision mah. juz watch 2 lar tot ì_ interested.,0,en
23,zor dönem dönemdi zaten diyeceğim hazırlık mıydı dönem yoksa,0,tr
24,sorry cant take call right now. happens r 2waxsto wat want. come ill get medical insurance. she'll able deliver basic care. i'm currently shopping right medical insurance her. give til friday morning. thats i.ll see major person guide right insurance.,0,en
25,olur spora yazılacam,0,tr
26,"dear, take care. reaching home.love u lot.",0,en
27,carlos says he'll mu &lt;#&gt; minutes,0,en
28,"sms services. inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe stop, extra charge. help 08702840625.comuk. 220-cm2 9ae",1,en
29,"gunaydin,cok tesekkur ederim:) sabah sabah haftaya guzel baaslaattiniz sagolun,) iyi seneler:)",0,tr
30,orda kalacak herkesin ismini istediler,0,tr
31,"oh süper, okula devam ediyorsun değil mi",0,tr
32,"hocam, yarın akşam üzeri bitecek olursa, eşim pazartesi günü ulaştırabileceğini söylüyor. emeğinizin karşılığını vereceğim, yoksa içim rahat etmez. selamlar...",0,tr
33,ìï come lt 25 n pass lar,0,en
34,u konw waht rael friendship im gving yuo exmpel: jsut ese tihs msg.. evrey splleing tihs msg wrnog.. bt sitll yuo raed wihtuot ayn mitsake.. goodnight &amp; nice sleep..sweet dreams..,0,en
35,tell reached,0,en
36,tamamdır geldi;) saolasın,0,tr
37,pardon :) abudabi saatiyle 8.30 :)),0,tr
38,kıskandım. benim dostumdun :),0,tr
39,bonus american expressle opette ayri gunlerde 4 75tl uzeri akaryakit alimina 25tl bonus!ilk harcamadan once opet yaz 3340'a gonder.son gun 31/08. bonus.com.tr.size ozel indirim/kampanyalarimizla ilgili ucretsiz sms almak istemiyorsaniz izinsiz yazip 3342'ye gonderebilirsiniz.,1,tr
40,cara panggil na localhost/sistemrumahsakit/gerbang/rawatdarurat,0,en
41,ok . . bus. . come soon come otherwise tomorrow,0,en
42,5 filtreli tezgah alti su aritma cihazinda kampanya 1.300 tl yerine 899 tl k.kartina 9 taksit bilgi icin:05545420849 www.elitwater.com,1,tr
43,maile atıyorlar kesintileri,0,tr
44,dersteyim ben,0,tr
45,ekstra 1750 mil! 1-31 ekim'de toplam 1000tl harcayin 1750mil kazanin! hedef yazin 3340'a gonderin m.milesandsmiles.net/c size ozel indirim kampanyalarimiz ilgili ucretsiz sms almak istemiyorsaniz smsiptal yazip 3342'ye gonderebilirsiniz.,1,tr
46,"is bankasi altin bulusmalari 24 kasim sali gunu milas sbde! altin,ziynet esyalarinizi getirin,karsiligi kadar altin hesabiniza yatsin.tel:02525121092 - iletisim tercihlerinizi degistirmek icin:internet subesi 08507240724 turkiye is bankasi",1,tr
47,full lenen internet kampanyasiyla internet paketinizin harcadiginiz yarisi ucretsiz geri gelsin ister misiniz? kampanyaya ucretsiz katilarak paketinizin yarisi kadar ek internet hakkiyla doya doya internet kullanmaya devam etmek icin fulle yazip 2222 ye gonderin.,1,tr
48,simdi ligtv ilk 3 ay 50 indirimli ustelik ilk ay sporextra mobil tv yetiskin paketi hediye bilgi almak ucretsiz kurulum icin bireysel musteri temsilciniz ozge 0212 709 77 73 sms iptali icin URL TOKEN iptalco itu7n,1,tr
49,"yo carlos, friends already asking you, working weekend?",0,en
50,kız millet 10 kiloyla gayet sağlıklı bebek dünyaya getiriyor,0,tr
51,someone u know asked dating service 2 contact you! cant guess who? call 09058091854 revealed. po box385 m6 6wu,1,en
52,gerçekten ilginç neye takıldılar anlamadım,0,tr
53,"haha kidding, papa needs drugs",0,en
54,talk me..,0,en
55,"dr ktr indosat sdh hub nmr tp tdk trsambung,jd krm sms bhw no mendpt mobil jaguar pin;d377hi8 info www.kejutanindosat-plusplus.weebly.com",1,id
56,"that's rude, campus?",0,en
57,also chat awesome make regular unless see person,0,en
58,u secret admirer looking 2 make contact u-find r*reveal thinks ur special-call 09065171142-stopsms-08,1,en
59,yo guess dropped,0,en
60,need details online job.,0,en
61,"garanti mortgage'den kamu calisanlarina,16 mart-30 nisan arasinda kredi tahsis ucretsiz mortgage firsati. bilgi icin 4443846 www.garantimortgage.com",1,tr
62,tum english home aksesuarlar %50 indirimle magazalarimizda www.englishhome.com.tr'de. sms almamak icin ret yazip 4909'a gonderin.mersis:0326026979700012,1,tr
63,"body 3.50 - sweat 9.90 - etek 14.90 - byn kaban 39.90 tl fi̇yatlarla.... cns avm 'de ,keyi̇fli̇ alişveri̇şler.",1,tr
64,good evening! you?,0,en
65,u wana see,0,en
66,hocanin ip 6 si bende illa ekran koruyucu takalim dedide :) sabah 8.30 kilif alsam hemde ekran koruyucu taktirsak dicektim :),0,tr
67,"anaokulu,1200mt2 bahce,tüm gün ingilizce egitim,gezi,aktivite programlariyla 3-6yasa egitim vermeye devam ediyoruz.acilisa özel indirim icin 05336293594/bornova",1,tr
68,"yves rocher'den sadece seckin tuketicilerine ozel... 125 tl'lik alisverisinize 125 tl degerinde orijinal boy cilt bakim kremi, ruj, vucut losyonu roll-on deodorant hediye! keyifli alisverisler... (cikmak icin yr->3172) mersis0630038615700010",1,tr
69,anladimmm. tabi onlar bunu bilmicekler. valla super??,0,tr
70,"gülayım zaten dışardayız, çocuklar yoruldu zaten, muhtemelen birazdan eve döneriz",0,tr
71,account refilled successfully inr &lt;decimal&gt; . keralacircle prepaid account balance rs &lt;decimal&gt; . transaction id kr &lt;#&gt; .,0,en
72,"\petey boy whereare friendsare thekingshead come canlove nic\""""",0,en
73,olur,0,tr
74,2marrow only. wed &lt;#&gt; 2 aha.,0,en
75,"swhrt u dey,hope ur ok, tot u 2day.love n miss.take care.",0,en
76,? ? stand away ? heart ache without ? wonder ? crave ?,0,en
77,cant pick phone right now. pls send message,0,en
78,yup song bro. creative. neva test quality. said check review online.,0,en
79,"sayin :mehtap saygili,adiniza tanimlanan 2650 tl degerinde samsung s6 cep telefonunuzu 3 is günü almamaniz durumunda iade olacaktir.onay:02129980103",1,tr
80,wife.how knew time murder exactly,0,en
81,"yaudah, data dummy diagnosa_pasien",0,id
82,good morning plz call sir,0,en
83,"bit ur smile hppnss, drop ur tear sorrow, part ur heart life, heart like mine wil care u, forevr goodfriend",0,en
84,daddy bb now.,0,en
85,maybe find something else instead???,0,en
86,lol enjoy role playing much?,0,en
87,know hook means right?,0,en
88,babe ? lost ... :-(,0,en
89,ben çıktım savunmadan,0,tr
90,"faizsiz, ucretsiz, 3 taksitli nakit avans icin son 15 gun! 31 marta kadar 1.500 tl harcayin, yararlanin! nakit bosluk kartin son 6 hanesini 3404e gonderin!",1,tr
91,"ufo soguk buharli iyonizerli vantilator, ozel fiyati ucretsiz kargosu 239tl! n11.com/ufo sms iptali icin n11 iptal yazip 2924'e gonderebilirsiniz mersis no:0309034533200013",1,tr
92,maalesef yapacak yok bunu yapan benim hocalarım lanet olsun diyorum kağıdı kötü demişler ben kağıdımı gayet iyi biliyorum evet iyi bir kağıt değil 40 değil,0,tr
93,yoruluyor musun saat geç,0,tr
94,kampanya:loft'ta yeni yila ozel %30 indirim baslamistir.mutlu yillar dileriz. sms almamak icin loftsu yazip 7889'a ucretsiz sms gonderebilirsiniz. mh:5495520372,1,tr
95,"müdürüm karar veriyor pazar akşam dönüyorum, gitmeden görebilirim inşallah",0,tr
96,barcin'dan bahara merhaba kampanyasi. 250 tl üzeri alisverisinize %20 parapuan. 15 mart'a kadar sürecek kampanyayi kacirmayin!,1,tr
97,r u yet? i'm wearing blue shirt n black pants.,0,en
98,nvm... i'm going wear sport shoes anyway... i'm going late leh.,0,en
99,"welcome select, o2 service added benefits. call specially trained advisors free mobile dialling 402.",1,en
100,bilmiyorum tam olarak akşamüstü gelicem dedi,0,tr
